prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label
prov1,58.416667,-134.833333,30,5.7,7.34,102,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov2,58.416667,-134.666667,45,5.8,8.76,100,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov3,57.5,-135.833333,30,6.6,9.86,99,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov4,55.416667,-132.833333,80,6.9,8.18,99,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov5,48.333333,-116.083333,740,7.2,6.19,101,199,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov6,50.316667,-125.933333,55,8.4,4.1,101,190,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov7,50.05,-123.866667,15,8.9,5.22,103,196,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov8,49.05,-123.933333,168,9,1.92,105,202,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov9,48.7,-123.683333,521,7.9,1.73,102,198,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov10,48.5,-124.333333,182,8.1,4.09,102,200,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov11,48.366667,-124.016667,90,9.3,2.85,102,204,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov12,46.416667,-123.766667,75,10.9,4.83,103,204,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987
prov1,48.6,-124.23,20,9.5,5.47,84.7,335.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov2,48.77,-124.97,40,9.8,6.36,87,330.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov3,48.83,-124.67,30,8.9,6.13,86.2,332.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov4,48.85,-123.65,150,9.6,1.7,88.9,330.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov5,48.92,-124.5,160,8.9,6.5,88,334.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov6,48.92,-124.87,40,9.3,6.15,86.7,333.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov7,48.95,-123.47,50,10.1,1.7,85.9,334.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov8,48.97,-124.72,200,9.1,8.18,86.3,330,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov9,49,-125.57,40,9.3,6.24,89.2,336.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov10,49.05,-123.93,107,9.3,1.91,84.6,333.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov11,49.05,-124.7,500,7.5,7.72,84.8,329.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov12,49.05,-125.45,50,9.2,7.03,86.7,327.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov13,49.17,-124.68,400,7.8,5.46,82.5,333.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov14,49.2,-124.75,100,9.1,2.89,85.8,333.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov15,49.32,-124.45,50,8.9,2.05,84.7,328.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov16,49.53,-124.88,100,8.7,2.33,85.8,334,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov17,49.57,-122.93,190,8.3,6.55,84.1,331.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov18,49.65,-124.03,150,9.4,2.88,82.4,334.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov19,49.72,-123.12,100,8.5,4.21,80.3,334.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov20,49.75,-125.12,250,8.2,2.56,86.2,331.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov21,49.88,-123.18,250,7.9,3.88,83,331.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov22,49.97,-124.75,150,9.1,2.76,82.6,332.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov23,49.97,-126.25,1000,4.4,4.97,84.1,328.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
prov24,50.02,-126.82,200,8.4,8.67,83.4,329.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998
